[2018-09-03 17:16:30] DEBUG [libs.Utility:28] List of devices attached

[2018-09-03 17:16:30] DEBUG [libs.Utility:28] 

[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:1
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:1
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:2
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:2
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:1
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:3
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:3
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:2
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:1
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:4
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:3
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:2
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:1
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:4
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:5
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:3
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:2
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:1
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:5
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:4
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:6
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:3
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:2
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:1
[2018-09-03 17:16:36] DEBUG [libs.ThreadManager:45] DONE      |                                         Upgrade:6
