[2018-09-03 18:10:11] DEBUG [libs.Utility:28] List of devices attached

[2018-09-03 18:10:11] DEBUG [libs.Utility:28] 

[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:1
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:45] RUNNING   |                                         Upgrade:1
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:2
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:45] RUNNING   |                                         Upgrade:2
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:45] RUNNING   |                                         Upgrade:1
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:3
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:43] STATE     |                                              NAME
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:45] RUNNING   |                                         Upgrade:3
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:45] RUNNING   |                                         Upgrade:2
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:45] RUNNING   |                                         Upgrade:1
[2018-09-03 18:10:15] DEBUG [libs.ThreadManager:94] STARTED   |                                         Upgrade:4
